City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Souillac,-20.5167,57.5167,26,78,75,1.03,MU,1614920083
Norman Wells,65.282,-126.8329,-15,66,75,5.14,CA,1614920085
Yamada,39.4667,141.95,12.49,61,88,4.68,JP,1614920106
Jamestown,42.097,-79.2353,-7.78,90,90,5.62,US,1614920030
Rikitea,-23.1203,-134.9692,27.59,80,78,1.98,PF,1614920088
Kapaa,22.0752,-159.319,21,83,75,8.23,US,1614920090
Thompson,55.7435,-97.8558,-8,79,20,4.12,CA,1614920091
Faanui,-16.4833,-151.75,28.82,72,100,3.26,PF,1614920093
Puerto Ayora,-0.7393,-90.3518,23.33,98,93,0.45,EC,1614920094
Shanghai,31.2222,121.4581,18.89,71,40,4,CN,1614919891
Grand Gaube,-20.0064,57.6608,28.89,68,50,1.34,MU,1614920166
Barrow,71.2906,-156.7887,-28,63,90,10.8,US,1614920179
Yellowknife,62.456,-114.3525,-17.78,78,90,8.23,CA,1614920181
Qaanaaq,77.484,-69.3632,-30.88,62,0,1.97,GL,1614920182
Butaritari,3.0707,172.7902,27.49,78,100,8.06,KI,1614920183
Atar,20.5169,-13.0499,19.16,21,75,4.49,MR,1614920185
Laguna,38.421,-121.4238,12,62,1,3.6,US,1614920186
Burnie,-41.0667,145.9167,21.11,46,0,10.28,AU,1614920187
Esperance,-33.8667,121.9,28,51,75,1.54,AU,1614920188
Gari,59.4307,62.3497,-9.34,96,100,1.13,RU,1614920189
Juneau,58.3019,-134.4197,2,80,75,3.31,US,1614920191
Ushuaia,-54.8,-68.3,13,38,75,6.69,AR,1614919938
San Patricio,28.017,-97.5169,18,82,90,6.17,US,1614920192
Oyama,36.3,139.8,17,39,75,2.57,JP,1614920194
Busselton,-33.65,115.3333,23.33,86,53,5.31,AU,1614920195
Kishanganj,26.1167,87.9333,28.1,20,1,0.51,IN,1614920196
Horsham,51.064,-0.3272,3.33,81,75,5.14,GB,1614920196
Uruçuí,-7.2294,-44.5561,23.34,86,89,1.01,BR,1614920198
Rawson,-43.3002,-65.1023,14.79,81,6,5.24,AR,1614920199
Jalu,29.0331,21.5482,10.66,49,97,4.21,LY,1614920199
Ust-Nera,64.5667,143.2,-30.87,74,100,3.02,RU,1614920200
Kloulklubed,7.0419,134.2556,29,70,75,8.75,PW,1614920200
Pāsighāt,28.0667,95.3333,22.14,49,94,0.49,IN,1614920201
Cape Town,-33.9258,18.4232,20,72,0,3.6,ZA,1614920185
Port Alfred,-33.5906,26.891,19.44,92,8,1.34,ZA,1614920202
Bluff,-46.6,168.3333,15,77,100,1.79,NZ,1614920204
Vyaz'ma,55.2104,34.2951,-8.21,97,51,3.32,RU,1614920205
New Norfolk,-42.7826,147.0587,14.44,44,75,8.75,AU,1614920206
Dikson,73.5069,80.5464,-32.07,81,64,6.65,RU,1614920207
Nantucket,41.2835,-70.0995,-1.11,89,0,11.4,US,1614920209
